NO_OF_SAMPLES	3190
TOT_NO_OF_CHAN	40
FREQUENCY	2400.000000
NO_OF_CALC_CHAN	0
TIME_STAMP	2014-12-18, 12:04:29	16106.19054153
FIRST_SAMPLE	1671
DESCRIPTION	--
DATA_INCLUDED	Analog
CHANNEL_NAMES	Channel_01	Channel_02	Channel_03	Channel_04	Channel_05	Channel_06	Channel_07	Channel_08	Channel_09	Channel_10	Channel_11	Channel_12	Channel_13	Channel_14	Channel_15	Channel_16	Channel_17	Channel_18	Channel_19	Channel_20	Channel_21	Channel_22	Channel_23	Channel_24	Channel_25	Channel_26	Channel_27	Channel_28	Channel_29	Channel_30	Channel_31	Channel_32	Channel_33	Channel_34	Channel_35	Channel_36	Channel_37	Channel_38	Channel_39	Channel_40
CHANNEL_GAIN	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
FP_LOCATION
FP_CAL
FP_GAIN
0.012970	0.019684	0.001678	0.007172	-0.002594	0.007477	-0.390478	-2.219730	3.243000	-0.391089	2.620432	1.391775	-0.139620	0.259861	0.256504	-0.396582	-0.063935	-0.064240	0.018463	0.013275	0.006256	0.018158	0.004730	0.007477	-4.293736	1.989624	1.667658	1.577325	1.432364	1.322805	0.000458	-0.063020	0.099031	0.090181	0.091096	0.021820	0.098116	0.081331	0.078889	-0.048676	
0.011444	0.023346	0.000763	0.009003	-0.002289	0.009003	-0.395361	-2.221866	3.246357	-0.391089	2.619822	1.394827	-0.147860	0.255589	0.289158	-0.439918	-0.069123	-0.090181	0.017548	0.021820	0.005646	0.018463	0.005646	0.009308	-4.428931	1.990234	1.660639	1.567254	1.420157	1.309377	0.001373	-0.063020	0.099031	0.089570	0.090181	0.020905	0.097200	0.081025	0.080415	-0.049592	
0.010834	0.028229	0.001373	0.007172	-0.004425	0.014496	-0.393225	-2.226444	3.244526	-0.391089	2.621347	1.400626	-0.152743	0.269322	0.310521	-0.484169	-0.075532	-0.089876	0.019989	0.020905	0.005951	0.017548	0.006256	0.009308	-4.686809	1.992676	1.641718	1.541619	1.390555	1.279164	0.001373	-0.063630	0.094453	0.084382	0.087434	0.018769	0.097505	0.080415	0.077974	-0.050202	
0.011444	0.028840	0.001068	0.007172	-0.005951	0.014801	-0.391394	-2.231327	3.242390	-0.391394	2.621347	1.403677	-0.153964	0.305333	0.334325	-0.514382	-0.081025	-0.075532	0.019379	0.022126	0.003815	0.018769	0.005341	0.011139	-5.098192	2.000916	1.612116	1.504082	1.344472	1.225147	0.001068	-0.067597	0.085603	0.078279	0.082246	0.013581	0.093538	0.078279	0.075837	-0.052644	
0.009918	0.023346	0.000153	0.011749	-0.006561	0.012970	-0.395361	-2.240787	3.245441	-0.390784	2.622568	1.397269	-0.162814	0.340429	0.363622	-0.559243	-0.084382	-0.081025	0.019684	0.022431	0.008087	0.015412	0.002594	0.006867	-5.656977	2.016175	1.573968	1.451896	1.279469	1.150988	0.000153	-0.071565	0.072480	0.066682	0.072175	0.005951	0.087434	0.072175	0.071565	-0.056306	
0.009308	0.019684	0.001373	0.009613	-0.004425	0.011139	-0.393835	-2.241703	3.242390	-0.389563	2.620432	1.399710	-0.171359	0.355688	0.387732	-0.598001	-0.093233	-0.096895	0.019074	0.018463	0.007172	0.019684	0.005341	0.005646	-5.839170	2.024109	1.559014	1.427787	1.247120	1.108263	0.000763	-0.076448	0.062104	0.057221	0.063935	-0.002899	0.079194	0.065156	0.064851	-0.062409	
0.009613	0.018463	0.001373	0.008698	-0.004120	0.005951	-0.389868	-2.248722	3.242084	-0.387427	2.617685	1.404288	-0.179294	0.373693	0.412451	-0.633707	-0.102083	-0.100557	0.022126	0.013275	0.007782	0.017853	0.005951	0.007782	-5.857481	2.025025	1.556268	1.422904	1.236439	1.092088	0.000458	-0.081025	0.056001	0.049592	0.056001	-0.011749	0.063935	0.050813	0.045319	-0.078584	
0.011444	0.021515	0.001068	0.005646	-0.003204	0.007477	-0.395056	-2.258793	3.240558	-0.388952	2.619211	1.403983	-0.180819	0.406348	0.446326	-0.683146	-0.104829	-0.085908	0.019074	0.016327	0.007477	0.016632	0.004120	0.008698	-5.859617	2.024109	1.555352	1.421683	1.233997	1.088426	0.000763	-0.084688	0.048981	0.043488	0.048066	-0.017548	0.067903	0.052033	0.056306	-0.075227	
0.016022	0.025177	0.001373	0.006256	-0.004425	0.008698	-0.393835	-2.262455	3.239948	-0.390478	2.614938	1.407034	-0.181125	0.435035	0.467689	-0.717937	-0.113680	-0.083467	0.018463	0.021515	0.008698	0.014191	0.005035	0.008087	-5.857786	2.023194	1.555352	1.422293	1.232776	1.087510	0.000763	-0.088655	0.045930	0.037995	0.042267	-0.023957	0.059052	0.044709	0.046235	-0.081636	
0.016022	0.024872	-0.000153	0.007477	-0.004120	0.012055	-0.394751	-2.265202	3.239643	-0.389563	2.615854	1.409171	-0.186313	0.455787	0.490883	-0.755779	-0.120394	-0.094148	0.019379	0.021820	0.008698	0.019379	0.006256	0.009003	-5.859006	2.022583	1.555047	1.422293	1.233692	1.087205	0.000458	-0.092012	0.043183	0.035248	0.037995	-0.029755	0.052338	0.037385	0.037995	-0.089265	
