NO_OF_SAMPLES	2700
TOT_NO_OF_CHAN	40
FREQUENCY	2400.000000
NO_OF_CALC_CHAN	0
TIME_STAMP	2014-12-18, 12:00:02	15838.71466643
FIRST_SAMPLE	2801
DESCRIPTION	--
DATA_INCLUDED	Analog
CHANNEL_NAMES	Channel_01	Channel_02	Channel_03	Channel_04	Channel_05	Channel_06	Channel_07	Channel_08	Channel_09	Channel_10	Channel_11	Channel_12	Channel_13	Channel_14	Channel_15	Channel_16	Channel_17	Channel_18	Channel_19	Channel_20	Channel_21	Channel_22	Channel_23	Channel_24	Channel_25	Channel_26	Channel_27	Channel_28	Channel_29	Channel_30	Channel_31	Channel_32	Channel_33	Channel_34	Channel_35	Channel_36	Channel_37	Channel_38	Channel_39	Channel_40
CHANNEL_GAIN	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
FP_LOCATION
FP_CAL
FP_GAIN
-0.016632	0.019684	0.001984	0.004120	-0.006561	0.028840	-0.125277	-3.171893	3.830472	-0.380407	2.224308	1.255055	-0.103609	0.244602	0.149081	-0.080110	-0.025483	0.019684	0.015106	0.021210	0.006867	0.019989	0.005951	0.010529	-2.540780	-0.830243	-0.927291	-0.937057	-0.966049	-1.031968	-0.000763	-0.029755	0.175937	0.164340	0.164645	0.096284	0.173800	0.158541	0.157015	0.027619	
-0.014496	0.018769	0.002289	0.005951	-0.005951	0.030060	-0.122835	-3.179217	3.833829	-0.381628	2.227054	1.250477	-0.106355	0.207980	0.142977	-0.070954	-0.019989	0.008698	0.018463	0.021820	0.007782	0.018463	0.009003	0.008392	-2.566415	-0.577859	-0.690471	-0.707561	-0.753643	-0.829023	-0.000763	-0.029450	0.173190	0.162203	0.164340	0.093233	0.172274	0.156405	0.154574	0.025177	
-0.018769	0.025788	0.002289	0.007477	-0.003815	0.027314	-0.121309	-3.184100	3.831083	-0.380407	2.224002	1.259632	-0.110628	0.177462	0.124666	-0.056306	-0.016022	-0.001678	0.018769	0.019074	0.005035	0.017243	0.006256	0.008392	-2.563668	-0.254063	-0.386816	-0.413062	-0.482643	-0.569009	-0.001068	-0.030060	0.173190	0.162203	0.162509	0.093538	0.171054	0.154574	0.153658	0.023957	
-0.020600	0.027619	0.001373	0.006867	-0.006256	0.025788	-0.122835	-3.205768	3.830472	-0.379492	2.223087	1.264210	-0.107881	0.191806	0.126497	-0.066377	-0.013275	0.004425	0.020600	0.020905	0.007477	0.016327	0.008698	0.006867	-2.530098	0.079499	-0.066377	-0.096590	-0.181735	-0.274815	-0.000458	-0.028229	0.172885	0.161593	0.163729	0.093233	0.171054	0.154269	0.152132	0.023346	
-0.012360	0.025788	0.001678	0.010834	-0.008087	0.026093	-0.115816	-3.214313	3.831693	-0.379187	2.224613	1.267872	-0.100252	0.191501	0.117037	-0.051423	-0.013275	0.013581	0.016632	0.016938	0.012055	0.016327	0.006867	0.004730	-2.498970	0.392309	0.238193	0.206149	0.111849	0.016938	-0.000458	-0.028229	0.173800	0.163119	0.164034	0.094148	0.171054	0.154269	0.151827	0.023651	
-0.012665	0.023957	0.001678	0.008392	-0.005035	0.025483	-0.118563	-3.222553	3.831693	-0.379492	2.224002	1.266651	-0.099031	0.155795	0.106966	-0.047150	-0.012665	0.003204	0.016632	0.016632	0.005035	0.018158	0.004425	0.009003	-2.449531	0.683452	0.523232	0.486305	0.384985	0.287938	0.001068	-0.027619	0.176852	0.164950	0.166171	0.096284	0.172580	0.156405	0.153353	0.024872	
-0.017853	0.021515	0.004425	0.005341	-0.003204	0.026093	-0.121004	-3.235065	3.832608	-0.378271	2.224308	1.261768	-0.096284	0.139620	0.113375	-0.055085	-0.008698	-0.007782	0.013886	0.018158	0.008087	0.019074	0.004120	0.005951	-2.382086	0.918135	0.758831	0.720989	0.619669	0.528420	0.001678	-0.025483	0.178988	0.167086	0.168002	0.097810	0.174411	0.157321	0.154879	0.025788	
-0.020295	0.020905	0.002289	0.004120	-0.002594	0.027008	-0.113069	-3.246967	3.833524	-0.376745	2.225833	1.278248	-0.100557	0.161898	0.106966	-0.043793	-0.010529	-0.004425	0.017243	0.021210	0.004425	0.017243	0.005646	0.008698	-2.308232	1.089647	0.936141	0.902571	0.806439	0.723125	0.001068	-0.024567	0.182040	0.170443	0.171054	0.099947	0.168917	0.154269	0.144503	0.019379	
-0.019074	0.024872	0.002899	0.006867	-0.004730	0.026703	-0.115206	-3.260395	3.832608	-0.372778	2.224308	1.281605	-0.111849	0.186923	0.105135	-0.049287	-0.006867	0.009918	0.017853	0.021820	0.004730	0.018158	0.007172	0.008087	-2.233463	1.213855	1.065232	1.036240	0.946212	0.872969	0.001068	-0.022126	0.183566	0.172885	0.173800	0.103914	0.184482	0.164034	0.165560	0.031891	
-0.018769	0.025788	0.003204	0.005035	-0.004730	0.029450	-0.115206	-3.268330	3.831083	-0.373388	2.222171	1.271534	-0.117037	0.183261	0.126497	-0.060273	-0.006867	-0.001984	0.020294	0.024567	0.005035	0.017548	0.008392	0.007477	-2.171206	1.274586	1.135729	1.114672	1.033188	0.969711	0.000763	-0.021210	0.187839	0.174716	0.177157	0.106355	0.184482	0.167086	0.164645	0.034638	
