NO_OF_SAMPLES	2850
TOT_NO_OF_CHAN	40
FREQUENCY	2400.000000
NO_OF_CALC_CHAN	0
TIME_STAMP	2014-12-18, 11:52:38	15394.98746532
FIRST_SAMPLE	3461
DESCRIPTION	--
DATA_INCLUDED	Analog
CHANNEL_NAMES	Channel_01	Channel_02	Channel_03	Channel_04	Channel_05	Channel_06	Channel_07	Channel_08	Channel_09	Channel_10	Channel_11	Channel_12	Channel_13	Channel_14	Channel_15	Channel_16	Channel_17	Channel_18	Channel_19	Channel_20	Channel_21	Channel_22	Channel_23	Channel_24	Channel_25	Channel_26	Channel_27	Channel_28	Channel_29	Channel_30	Channel_31	Channel_32	Channel_33	Channel_34	Channel_35	Channel_36	Channel_37	Channel_38	Channel_39	Channel_40
CHANNEL_GAIN	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
FP_LOCATION
FP_CAL
FP_GAIN
-0.024262	0.019379	0.002594	0.005951	-0.006256	0.026398	-0.424353	-2.401618	3.483177	1.758907	4.526894	2.440986	-0.080110	0.171054	0.116732	-0.068208	0.010224	-0.001373	0.016632	0.019684	0.011444	0.018769	0.009003	0.002899	-5.284047	2.206607	1.812619	1.653620	1.450370	1.281910	0.002289	-0.087129	0.069429	0.059358	0.062715	-0.013275	0.074006	0.056916	0.056001	-0.073396	
-0.023651	0.020600	0.002899	0.005951	-0.005646	0.034028	-0.424048	-2.403754	3.484398	1.758602	4.525368	2.440986	-0.078889	0.149386	0.111543	-0.059052	0.012360	0.000763	0.023041	0.017853	0.009308	0.018158	0.009003	0.004730	-5.358816	2.433356	2.013733	1.840696	1.621271	1.440299	0.003510	-0.086824	0.068513	0.058747	0.062715	-0.012055	0.073091	0.055695	0.055085	-0.071870	
-0.027008	0.021515	0.003815	0.005646	-0.004730	0.028534	-0.426184	-2.406806	3.483482	1.757992	4.521401	2.452888	-0.077974	0.135958	0.096590	-0.045930	0.011444	-0.015106	0.024262	0.018769	0.005646	0.019684	0.008392	0.002899	-5.418326	2.657664	2.216068	2.031739	1.799802	1.609674	0.003815	-0.086213	0.066682	0.056916	0.062409	-0.013275	0.073091	0.055695	0.055085	-0.072480	
-0.025177	0.023957	0.003510	0.008087	-0.005035	0.024567	-0.427405	-2.423896	3.485008	1.759518	4.525673	2.458381	-0.079194	0.135042	0.093538	-0.050507	0.013886	-0.016632	0.021210	0.015106	0.010224	0.014801	0.007782	0.004730	-5.476005	2.879225	2.413214	2.219120	1.978332	1.779965	0.004120	-0.086824	0.066072	0.057221	0.061494	-0.013275	0.072175	0.056001	0.054780	-0.074006	
-0.026703	0.024567	0.004120	0.007782	-0.006561	0.028229	-0.421302	-2.427558	3.482872	1.757382	4.524453	2.466621	-0.068513	0.119783	0.081941	-0.042267	0.014191	0.000153	0.018158	0.016022	0.013275	0.017853	0.010529	0.005646	-5.518120	3.079728	2.597543	2.396124	2.148318	1.946288	0.004730	-0.086824	0.066377	0.057221	0.060883	-0.013886	0.071565	0.056306	0.054475	-0.073701	
-0.024262	0.021210	0.001373	0.006561	-0.004730	0.026703	-0.419165	-2.434882	3.482567	1.760128	4.522011	2.470588	-0.067292	0.097810	0.079194	-0.039826	0.012360	0.002289	0.017243	0.013275	0.011749	0.017243	0.007782	0.002899	-5.548944	3.291219	2.788891	2.577401	2.319829	2.113222	0.003815	-0.086519	0.065156	0.056001	0.061494	-0.014496	0.071565	0.054780	0.053559	-0.074311	
-0.025483	0.020294	0.005035	0.005951	-0.004425	0.027619	-0.419471	-2.450141	3.481041	1.759518	4.518960	2.471504	-0.062104	0.091402	0.084077	-0.040742	0.013581	-0.012360	0.018769	0.015412	0.009613	0.016632	0.007172	0.005646	-5.583734	3.434348	2.924697	2.711070	2.456550	2.249638	0.004425	-0.085298	0.066072	0.056001	0.060578	-0.013886	0.071565	0.055695	0.053864	-0.073091	
-0.024872	0.021210	0.003510	0.006561	-0.003510	0.027008	-0.416724	-2.456245	3.482872	1.757687	4.518349	2.486458	-0.060578	0.106355	0.077668	-0.032807	0.012665	-0.016938	0.016022	0.015412	0.008698	0.020294	0.006867	0.004730	-5.578546	3.458152	2.956741	2.755627	2.512093	2.320134	0.004425	-0.086213	0.065461	0.056001	0.060578	-0.014496	0.063935	0.048066	0.041352	-0.082551	
-0.026093	0.024567	0.002899	0.005035	-0.005951	0.029450	-0.419471	-2.466316	3.481346	1.761349	4.518960	2.490120	-0.074311	0.113069	0.074617	-0.034638	0.017548	-0.003204	0.018463	0.017853	0.013275	0.017548	0.009308	0.004120	-5.500420	3.457847	2.966506	2.771496	2.538338	2.352178	0.004730	-0.085298	0.066072	0.056001	0.061189	-0.014496	0.075532	0.056306	0.059663	-0.072480	
-0.027924	0.021515	0.003815	0.006256	-0.005341	0.029755	-0.414893	-2.474250	3.481346	1.761654	4.520485	2.491951	-0.075227	0.113375	0.083772	-0.037995	0.017548	0.000763	0.020905	0.020600	0.010834	0.018463	0.009613	0.001678	-5.390554	3.453574	2.975967	2.784619	2.555734	2.374456	0.004730	-0.083772	0.068513	0.059358	0.062715	-0.013581	0.073396	0.056001	0.056611	-0.071870	
